Date,ACES,ADMR,ADRO,AKRA,AMMN,AMRT,ANTM,ARTO,ASII,BBCA,BBNI,BBRI,BBTN,BMRI,BRIS,BRPT,CPIN,CTRA,ESSA,EXCL,GOTO,ICBP,INCO,INDF,INKP,ISAT,ITMG,JPFA,JSMR,KLBF,MAPA,MAPI,MBMA,MDKA,MEDC,PGAS,PGEO,PTBA,SIDO,SMGR,SMRA,TLKM,TOWR,UNTR,UNVR
10/8/2024,860,1440,3800,1545,9025,3140,1525,2870,5225,10400,5350,5000,1410,7075,3050,1010,4850,1335,935,2270,60,12300,4130,7000,8525,2650,26050,1475,4920,1700,900,1750,545,2580,1370,1505,1125,3080,670,4020,700,2990,840,26425,2310
10/7/2024,880,1525,3890,1615,9000,3160,1545,2860,5100,10300,5200,4820,1385,6875,2910,1010,4840,1315,935,2260,60,12000,4400,6925,8775,2675,26325,1470,4930,1730,865,1655,565,2710,1420,1505,1140,3100,670,4030,690,2900,845,27075,2270
10/4/2024,860,1505,3810,1615,8875,3150,1525,2830,5150,10475,5325,4860,1365,6950,2910,1010,4760,1300,925,2250,60,12125,4300,7050,8825,2656,25975,1445,4880,1740,870,1655,560,2680,1420,1500,1145,2990,640,4030,685,2880,850,27275,2170
10/3/2024,875,1530,3830,1595,8900,3150,1535,2950,5250,10450,5375,4920,1390,7050,2970,1015,4740,1350,960,2260,64,12000,4320,7100,8850,2638,26100,1455,4900,1740,880,1730,580,2690,1370,1460,1120,3060,640,4040,685,2890,845,27225,2190
10/2/2024,875,1545,3870,1580,9050,3130,1535,2940,5150,10500,5350,4940,1415,6975,2940,1030,4730,1335,965,2200,65,12200,4300,7075,8825,2613,26025,1435,4880,1725,905,1730,575,2730,1400,1440,1120,3050,660,3900,680,2920,855,27250,2170
10/1/2024,895,1505,3920,1550,9350,3190,1500,3040,5175,10550,5375,5075,1465,7050,3000,1070,4720,1350,965,2260,67,12450,4220,7175,8850,2725,26350,1440,4900,1740,930,1745,590,2690,1285,1450,1125,3070,675,3880,695,3020,870,27450,2210
9/30/2024,920,1450,3810,1550,9275,3160,1480,3050,5050,10325,5350,4950,1450,6925,3010,1050,4700,1330,885,2290,66,12325,4080,7050,8650,2738,26475,1440,4930,1725,940,1760,585,2720,1265,1435,1135,3080,665,3790,695,2990,855,27150,2210
9/27/2024,915,1510,3910,1550,9525,3200,1470,3160,5100,10650,5450,5100,1460,7050,3060,1090,4800,1375,865,2310,70,12650,4030,7175,8525,2825,26500,1455,4930,1735,960,1830,585,2700,1300,1470,1135,3140,665,3850,715,3050,855,27700,2270
9/26/2024,905,1425,3780,1525,10100,3280,1425,3150,5250,10700,5600,5050,1465,7175,3100,1105,4880,1355,890,2350,70,12775,4020,7225,8475,2825,26500,1430,4970,1740,960,1785,575,2590,1315,1480,1150,3110,670,3900,685,3170,855,27300,2300
9/25/2024,870,1350,3690,1530,10175,3250,1440,3080,5225,10850,5600,5325,1445,7200,3070,1105,4920,1335,865,2310,66,12450,3970,7175,8500,2769,26525,1510,4930,1740,950,1795,550,2450,1335,1470,1160,3080,665,3870,670,3190,855,27450,2300
9/24/2024,880,1320,3740,1560,10100,3330,1410,3150,5275,10800,5800,5525,1515,7425,3110,1120,4920,1385,825,2290,63,12425,3790,7175,8400,2744,26900,1565,4960,1745,940,1820,540,2340,1315,1485,1170,3100,670,3820,695,3160,855,27375,2260
9/23/2024,900,1330,3700,1520,10175,3220,1395,3180,5225,10950,5800,5500,1530,7450,3150,1075,4960,1350,820,2300,65,12200,3750,7100,8300,2738,26175,1540,4970,1735,955,1810,545,2290,1255,1490,1150,3120,675,3830,690,3170,845,27125,2210
9/20/2024,880,1350,3690,1495,10325,3120,1370,3030,5225,10775,5750,5375,1530,7300,3030,1065,5000,1335,800,2280,63,12000,3700,7150,8225,2663,25900,1560,4940,1720,950,1850,540,2260,1265,1490,1115,2950,685,3910,685,3150,840,26925,2170
9/19/2024,820,1360,3660,1470,10425,3120,1375,3140,5275,10900,5825,5400,1535,7400,3160,1195,5050,1325,800,2300,63,11700,3690,7075,8325,2663,26000,1545,5025,1730,940,1780,530,2270,1255,1480,1125,2780,675,3890,700,3140,855,26625,2200
9/18/2024,805,1325,3650,1465,10375,3160,1365,3090,5250,10625,5700,5350,1485,7400,3140,1140,4940,1315,810,2280,61,11500,3680,7075,8325,2669,25925,1545,5050,1750,930,1800,525,2280,1230,1500,1120,2780,670,3910,680,3120,800,26725,2210
9/17/2024,785,1335,3760,1480,10275,3150,1380,2990,5075,10500,5650,5300,1445,7425,3100,1145,4960,1300,820,2290,65,11400,3720,7100,8275,2706,25850,1565,5100,1705,935,1790,540,2300,1230,1495,1120,2800,675,3960,650,3090,845,26675,2180
